PathwayID,PathwayName,Enrichment FDR,nGenes,Pathway Genes,Fold Enrichment,URL,Genes
hsa05160,Hepatitis C,4.33E-40,91,157,4.535648314,http://www.genome.jp/kegg-bin/show_pathway?hsa05160 , CDK2  CDK4  CDK6  CDKN1A  YWHAQ  CHUK  CLDN4  CLDN3  TICAM1  CTNNB1  E2F3  EGF  EGFR  EIF2S1  AKT1  AKT2  DDX58  GRB2  TBK1  GSK3B  APAF1  IFIT1  IFNA1  IFNA5  IFNA17  IFNAR1  IFNAR2  IFNB1  IFNG  FAS  IKBKB  FASLG  CXCL10  IRF3  ARAF  JAK1  KRAS  LDLR  EIF2AK4  MX1  MX2  MYC  NFKB1  NFKBIA  NRAS  PIK3CA  PIK3R1  PIK3R2  CYCS  PPARA  PPP2CA  MAPK1  MAPK3  MAP2K1  EIF2AK2  BAD  BAK1  BAX  RAF1  RB1  CCND1  RELA  RXRA  SOS1  BRAF  STAT1  STAT2  STAT3  TLR3  CLDN5  TNFRSF1A  TP53  TRAF2  TRAF3  TRAF6  TYK2  CASP3  CASP8  CASP9  PIK3R3  IKBKG  PIAS1  RIPK1  FADD  CFLAR  SOCS3  CLDN2  CLDN1  RSAD2  EIF2AK3  SCARB1
hsa05340,Primary immunodeficiency,1.24E-10,22,38,4.530401757,http://www.genome.jp/kegg-bin/show_pathway?hsa05340 , TNFRSF13C  TNFRSF13B  ICOS  AIRE  IL7R  JAK3  LCK  CIITA  AICDA  RAG1  RAG2  BTK  ZAP70  ORAI1  IKBKG  CD3E  CD4  CD8A  CD8B  CD19  CD40  CD40LG
hsa04950,Maturity onset diabetes of the young,1.35E-07,15,26,4.514561191,http://www.genome.jp/kegg-bin/show_pathway?hsa04950 , NR5A2  GCK  MNX1  FOXA2  FOXA3  HNF4A  HES1  IAPP  INS  PDX1  MAFA  NEUROD1  NKX6-1  SLC2A2  HNF1A
hsa05205,Proteoglycans in cancer,4.80E-50,116,202,4.493701833,http://www.genome.jp/kegg-bin/show_pathway?hsa05205 , CDKN1A  VAV3  HPSE  COL1A1  COL1A2  MAPK14  CTNNB1  DCN  HBEGF  EGFR  ELK1  ERBB2  ERBB3  ERBB4  AKT1  AKT2  ESR1  FGF2  FGFR1  FLNA  FLNB  FLNC  FN1  GAB1  GPC3  PDCD4  ANK1  GRB2  HGF  HIF1A  HSPG2  IGF1  IGF1R  IGF2  FAS  FASLG  IL12B  ITGA2  ITGA5  ITGB1  ARAF  ITGB3  ITPR1  KDR  KRAS  RHOA  LUM  SMAD2  MDM2  MET  MMP2  MMP9  MSN  MYC  PPP1R12A  NRAS  PAK1  PDPK1  PIK3CA  PIK3R1  PIK3R2  PLAU  PLAUR  PLCG1  PLCG2  PPP1CA  PRKCA  PRKCG  MAPK1  MAPK3  MAPK11  MAP2K1  PTK2  PTPN6  PTPN11  PXN  RAF1  CCND1  ACTB  ROCK1  RPS6KB1  SDC1  SDC2  SDC4  SHH  SLC9A1  SOS1  SRC  BRAF  STAT3  TGFB1  TGFB2  THBS1  TIMP3  TLR2  TLR4  TP53  TWIST1  VEGFA  VTN  WNT1  WNT5A  WNT10B  WNT11  NANOG  WNT10A  CAMK2A  CAMK2G  CASP3  PIK3R3  CAV1  CBL  ARHGEF1  ROCK2  CD44  CD63
hsa05167,Kaposi sarcoma-associated herpesvirus infection,7.71E-47,110,194,4.436991411,http://www.genome.jp/kegg-bin/show_pathway?hsa05167 , CDK4  CDK6  CDKN1A  CHUK  CCR1  CCR3  CCR4  CCR5  CCR8  CD200R1  CREB1  CREBBP  MAPK14  CSF2  TICAM1  CTNNB1  E2F3  EP300  AKT1  AKT2  FGF2  FOS  ANGPT2  TBK1  CXCL1  CXCL2  GSK3B  HCK  HIF1A  ICAM1  IFNA1  IFNA5  IFNA17  IFNAR1  IFNAR2  IFNB1  IFNGR1  FAS  IKBKB  IL6  IL6ST  CXCL8  IRF3  ITPR1  JAK1  JAK2  JUN  KRAS  LYN  MYC  NFATC1  NFKB1  NFKBIA  NRAS  LEF1  PDGFB  PIK3CA  PIK3CG  PIK3R1  PIK3R2  PLCG1  PLCG2  CYCS  PPP3CA  MAPK1  MAPK3  MAPK8  MAPK11  MAPK9  MAPK10  MAP2K1  MAP2K6  EIF2AK2  PTGS2  BAK1  BAX  RAF1  RB1  CCND1  RELA  RPS27A  MAP2K4  ATG3  SRC  STAT1  STAT2  STAT3  SYK  TCF7  TCF7L2  TLR3  TNFRSF1A  TP53  TRAF2  TRAF3  TYK2  VEGFA  ZFP36  CALML3  MAP1LC3B  CASP3  CASP8  CASP9  MAP1LC3A  PIK3R3  IKBKG  BECN1  FADD  MAPKAPK2  CD86
hsa00020,Citrate cycle (TCA cycle),2.70E-08,17,30,4.434302326,http://www.genome.jp/kegg-bin/show_pathway?hsa00020 , DLAT  DLD  IDH1  IDH2  IDH3B  MDH2  ACLY  ACO1  OGDH  PC  PDHA1  PDHB  SDHA  SDHB  SDHC  SUCLG2  SUCLG1
hsa04024,cAMP signaling pathway,7.40E-53,125,221,4.426040384,http://www.genome.jp/kegg-bin/show_pathway?hsa04024 , RAPGEF3  VAV3  ADCY1  ADCY2  CFTR  RAPGEF4  CHRM2  ADCY7  ADCYAP1  ADCYAP1R1  ADORA2A  CREB1  CREBBP  CRH  CRHR2  ADRB2  GPHA2  DRD1  DRD2  EDN1  EDN2  EDN3  EDNRA  EP300  AKT1  AKT2  F2R  FOS  FSHB  FSHR  GCG  AMH  GHSR  GIP  GIPR  GLI1  GLP1R  GNAI3  GNAS  FFAR2  GRIA1  GRIA2  GRIA3  GRIA4  GRIN1  GRIN2A  GRIN2B  GRIN2C  HTR1A  HTR1B  HTR1D  HTR4  JUN  RHOA  LHB  LHCGR  LIPE  MC2R  PPP1R12A  NFATC1  ATP1A3  NFKB1  NFKBIA  ATP1B1  NPY  ATP2A1  NPPA  ATP2A2  NPR1  ATP2A3  PAK1  ACOX1  PDE3B  PDE4A  PDE4B  PDE4D  GHRL  PIK3CA  PIK3R1  PIK3R2  PLD1  PLD2  PLN  POMC  PPARA  PPP1CA  ADCY10  MAPK1  MAPK3  MAPK8  MAPK9  MAPK10  MAP2K1  BAD  PTGER2  PTGER3  RAC2  RAF1  RAP1A  RELA  ROCK1  HCN2  RYR2  BDNF  HHIP  SLC9A1  SOX9  BRAF  SST  SSTR1  SSTR2  SSTR5  TNNI3  TSHB  TSHR  VIP  VIPR2  CALML3  CAMK4  CAMK2A  CAMK2G  PPP1R1B  ORAI1  PIK3R3  ROCK2
hsa04151,PI3K-Akt signaling pathway,1.01E-82,198,354,4.376828816,http://www.genome.jp/kegg-bin/show_pathway?hsa04151 , BCL2L11  CDK2  CDK4  CDK6  CDKN1A  CDKN1B  YWHAQ  CHRM2  CHUK  COL1A1  COL1A2  COL2A1  COL4A1  COL4A2  COL4A3  COL4A4  COL4A5  COL4A6  COL6A1  COL9A3  COMP  CREB1  ATF2  CSF1  CSF1R  CSF3  CSF3R  CSH2  LPAR1  EFNA2  EGF  EGFR  EPHA2  EIF4E  EIF4EBP1  CRTC2  EPO  EPOR  ERBB2  ERBB3  ERBB4  EREG  AKT1  AKT2  F2R  FGF1  FGF2  FGF4  FGF7  FGF9  FGF10  FGFR1  FGFR3  FGFR2  FGFR4  FOXO3  FLT1  FLT3  FLT4  FN1  FGF21  GH1  GH2  GHR  ANGPT1  LAMA1  ANGPT2  GRB2  GSK3B  GYS1  HGF  NR4A1  HSP90AA1  TNC  IBSP  IFNA1  IFNA5  IFNA17  IFNAR1  IFNAR2  IFNB1  IGF1  IGF1R  IGF2  IKBKB  IL2  IL2RA  FASLG  IL2RB  IL3  IL3RA  IL4  IL4R  IL6  IL6R  IL7  IL7R  INS  INSR  ITGA6  IRS1  ITGA1  ITGA2  ITGA2B  ITGA4  ITGA5  ITGB1  ITGB3  JAK1  JAK2  JAK3  AREG  KDR  KIT  KRAS  LAMA3  LAMC2  MCL1  MDM2  MET  KITLG  MYB  MYC  ATF4  NFKB1  NGF  NGFR  NOS3  NRAS  NTF3  NTF4  NTRK1  NTRK2  OSM  PDGFA  PDGFB  PDGFRA  PDGFRB  PDPK1  PGF  PIK3CA  PIK3CG  PIK3R1  PIK3R2  DDIT4  PPP2CA  PRKAA1  PRKAA2  PRKCA  PKN1  PKN2  MAPK1  MAPK3  PDGFC  MAP2K1  PRL  PRLR  BAD  PTK2  RAF1  RBL2  CCND1  BCL2  RELA  BCL2L1  RPS6KB1  RXRA  BDNF  SGK1  SOS1  SPP1  BRCA1  STK11  SYK  TEK  TGFA  THBS1  TLR2  TLR4  TNR  TP53  HSP90B1  TSC1  TSC2  VEGFA  VEGFB  VEGFC  VTN  VWF  FGF23  TCL1A  CASP9  PIK3R3  IKBKG  CCND2  CCND3  OSMR  CD19
hsa04658,Th1 and Th2 cell differentiation,7.34E-22,51,92,4.337904449,http://www.genome.jp/kegg-bin/show_pathway?hsa04658 , CHUK  MAPK14  JAG1  FOS  GATA3  TBX21  IFNG  IFNGR1  IKBKB  IL2  IL2RA  IL2RB  IL4  IL4R  IL5  IL12A  IL12B  IL12RB1  IL12RB2  JAK1  JAK2  JAK3  JUN  LCK  NFATC1  NFKB1  NFKBIA  NOTCH1  NOTCH2  NOTCH3  PLCG1  DLL4  PPP3CA  MAPK1  MAPK3  MAPK8  MAPK11  MAPK9  MAPK10  RELA  STAT1  STAT4  STAT5A  STAT5B  STAT6  TYK2  ZAP70  IKBKG  RUNX3  CD3E  CD4
hsa05226,Gastric cancer,2.33E-34,82,148,4.335605612,http://www.genome.jp/kegg-bin/show_pathway?hsa05226 , CDH17  CDK2  CDKN1A  CDKN1B  CDKN2B  CDX2  GADD45G  CTNNA1  CTNNB1  DDB2  GADD45A  DVL1  E2F3  EGF  EGFR  ERBB2  AKT1  AKT2  FGF1  FGF2  FGF4  FGF7  FGF9  FGF10  FGFR2  GAB1  SHC2  FGF21  GRB2  GSK3B  HGF  APC  ARAF  JUP  KRAS  LRP5  SMAD2  SMAD3  SMAD4  MET  MLH1  MYC  GADD45B  NRAS  LEF1  ABCB1  PIK3CA  PIK3R1  PIK3R2  MAPK1  MAPK3  MAP2K1  BAK1  BAX  RAF1  RARB  RB1  CCND1  BCL2  RPS6KB1  RXRA  SHC1  SHH  SOS1  BRAF  TCF7  TCF7L2  TERT  TGFB1  TGFB2  TGFB3  TGFBR1  TGFBR2  TP53  WNT1  WNT5A  WNT10B  WNT11  WNT10A  FGF23  PIK3R3  FGF19
hsa05152,Tuberculosis,4.58E-41,99,179,4.327925701,http://www.genome.jp/kegg-bin/show_pathway?hsa05152 , CEBPB  MALT1  CORO1A  TIRAP  CR1  CREB1  CREBBP  MAPK14  CTSD  CTSS  CYP27B1  EP300  AKT1  AKT2  FCGR1A  FCGR2A  FCGR2B  FCGR3A  FCGR3B  PLA2R1  CLEC4E  CD209  APAF1  HSPD1  IFNA1  IFNA5  IFNA17  IFNB1  IFNG  IFNGR1  IL1A  IL1B  IL6  IL10  IL10RA  IL10RB  IL12A  IL12B  IL18  IRAK1  ITGAM  ITGAX  ITGB2  JAK1  JAK2  RHOA  LAMP1  LAMP2  LBP  CIITA  MRC1  MYD88  NFKB1  IRAK4  IL23A  TLR9  CYCS  PPP3CA  MAPK1  MAPK3  MAPK8  MAPK11  MAPK9  MAPK10  BAD  BAX  RAF1  BCL2  RELA  NOD2  CLEC7A  SRC  STAT1  SYK  TGFB1  TGFB2  TGFB3  TLR1  TLR2  TLR4  TNFRSF1A  TRAF6  VDR  RAB7A  CALML3  CAMK2A  CAMK2G  CAMP  CASP3  CASP8  EEA1  CASP9  CASP10  RIPK2  FADD  SPHK1  BCL10  CD14  CD74
hsa04610,Complement and coagulation cascades,3.44E-20,47,85,4.326897079,http://www.genome.jp/kegg-bin/show_pathway?hsa04610 , MASP2  CLU  CPB2  CR1  CR2  CD55  F2  F2R  F5  F7  F8  F10  F12  F13A1  FGA  FGB  FGG  SERPIND1  CFH  CFI  ITGAM  ITGAX  ITGB2  KLKB1  KNG1  MBL2  CD46  SERPINC1  SERPINE1  SERPINB2  SERPINA5  SERPINE2  PLAT  PLAU  PLAUR  PLG  MASP1  BDKRB1  BDKRB2  TFPI  THBD  C1S  C4BPA  C5AR1  VTN  VWF  F2RL3
hsa05030,Cocaine addiction,4.43E-12,27,49,4.311866607,http://www.genome.jp/kegg-bin/show_pathway?hsa05030 , CREB1  ATF2  DDC  DLG4  DRD1  DRD2  FOSB  GNAI3  GNAS  GRIA2  GRIN1  GRIN2A  GRIN2B  GRIN2C  GRM3  JUN  MAOA  MAOB  ATF4  NFKB1  PDYN  RELA  BDNF  SLC18A2  TH  PPP1R1B  CDK5R1
hsa04510,Focal adhesion,3.18E-44,109,200,4.264755472,http://www.genome.jp/kegg-bin/show_pathway?hsa04510 , VAV3  COL1A1  COL1A2  COL2A1  COL4A1  COL4A2  COL4A3  COL4A4  COL4A5  COL4A6  COL6A1  COL9A3  COMP  CRK  CRKL  CTNNB1  EGF  EGFR  ELK1  ERBB2  AKT1  AKT2  FLNA  FLNB  FLNC  FLT1  FLT4  FN1  SHC2  LAMA1  GRB2  RAPGEF1  GSK3B  HGF  BIRC3  XIAP  TNC  IBSP  IGF1  IGF1R  ILK  ITGA6  ITGA1  ITGA2  ITGA2B  ITGA4  ITGA5  ITGB1  ITGB3  JUN  KDR  RHOA  LAMA3  LAMC2  MET  MYL2  MYLK  PPP1R12A  PAK1  PAK3  PDGFA  PDGFB  PDGFRA  PDGFRB  PDPK1  PGF  PIK3CA  PIK3R1  PIK3R2  PPP1CA  PRKCA  PRKCG  MAPK1  MAPK3  MAPK8  MAPK9  MAPK10  PDGFC  MAP2K1  BAD  PTK2  PXN  RAC2  RAF1  RAP1A  RASGRF1  CCND1  BCL2  ACTB  ROCK1  SHC1  SOS1  SPP1  SRC  BRAF  THBS1  TNR  VCL  VEGFA  VEGFB  VEGFC  VTN  VWF  PIK3R3  CAV1  CCND2  CCND3  MYLK3  ROCK2
hsa04664,Fc epsilon RI signaling pathway,7.52E-16,37,68,4.257850849,http://www.genome.jp/kegg-bin/show_pathway?hsa04664 , VAV3  MAPK14  CSF2  AKT1  AKT2  ALOX5AP  GRB2  IL3  IL4  IL5  KRAS  LYN  NRAS  PDPK1  PIK3CA  PIK3R1  PIK3R2  PLA2G4A  PLCG1  PLCG2  PRKCA  MAPK1  MAPK3  MAPK8  MAPK11  MAPK9  MAPK10  MAP2K1  MAP2K3  MAP2K6  RAC2  RAF1  MAP2K4  SOS1  SYK  BTK  PIK3R3
hsa05164,Influenza A,6.23E-38,93,171,4.255831953,http://www.genome.jp/kegg-bin/show_pathway?hsa05164 , CDK4  CDK6  ADAR  NLRP3  CHUK  CREBBP  TICAM1  EIF2S1  EP300  AKT1  AKT2  DDX58  SLC25A4  PYCARD  TBK1  APAF1  ICAM1  IFNA1  IFNA5  IFNA17  IFNAR1  IFNAR2  IFNB1  IFNG  IFNGR1  FAS  IKBKB  IL1A  IL1B  FASLG  IL6  CXCL8  IL12A  IL12B  IL18  CXCL10  IRF3  JAK1  JAK2  CIITA  MX1  MX2  MYD88  NFKB1  NFKBIA  NUP98  IRAK4  TLR7  PIK3CA  PIK3R1  PIK3R2  PLG  PML  CYCS  PRKCA  MAPK1  MAPK3  MAP2K1  EIF2AK2  TMPRSS4  BAK1  BAX  RAF1  RELA  ACTB  CCL2  IFIH1  STAT1  STAT2  TLR3  TLR4  TMPRSS2  TNFRSF1A  TPSAB1  TRAF3  TYK2  XPO1  TRIM25  CASP1  CASP3  CASP8  CASP9  PIK3R3  IKBKG  TNFSF10  FADD  TNFRSF10B  TNFRSF10A  CCND3  SOCS3  IL33  RSAD2  TMPRSS11D
hsa04920,Adipocytokine signaling pathway,1.41E-15,37,69,4.196142866,http://www.genome.jp/kegg-bin/show_pathway?hsa04920 , CAMKK2  PPARGC1A  CHUK  CPT1A  AGRP  AKT1  AKT2  ACSL4  IKBKB  IRS1  JAK2  LEP  LEPR  NFKB1  NFKBIA  NPY  ADIPOR1  POMC  PPARA  PRKAA1  PRKAA2  MAPK8  MAPK9  MAPK10  PTPN11  RELA  RXRA  SLC2A1  STAT3  STK11  TNFRSF1A  TNFRSF1B  TRAF2  IKBKG  IRS2  SOCS3  ADIPOQ
hsa04115,p53 signaling pathway,2.76E-16,39,73,4.18060735,http://www.genome.jp/kegg-bin/show_pathway?hsa04115 , CDK4  CDK6  CDKN1A  CDKN2A  GADD45G  CHEK2  DDB2  GADD45A  BBC3  APAF1  IGF1  IGFBP3  FAS  CD82  MDM2  MDM4  GADD45B  ATM  SERPINE1  PMAIP1  CYCS  ATR  BAX  CCND1  BCL2  BCL2L1  THBS1  TP53  TP73  TSC2  CASP3  CASP8  CASP9  TNFRSF10B  TNFRSF10A  CCNB1  CCND2  CCND3  CCNB2
hsa04015,Rap1 signaling pathway,3.25E-44,112,210,4.173461012,http://www.genome.jp/kegg-bin/show_pathway?hsa04015 , RAPGEF3  VAV3  ADCY1  ADCY2  RAPGEF4  ADCY7  CNR1  ADORA2A  ADORA2B  CRK  CRKL  MAPK14  CSF1  CSF1R  CTNNB1  CTNND1  DRD2  LPAR1  EFNA2  EGF  EGFR  EPHA2  AKT1  AKT2  F2R  FGF1  FGF2  FGF4  FGF7  FGF9  FGF10  FGFR1  FGFR3  FGFR2  FGFR4  FLT1  PLCB1  FLT4  FPR1  FGF21  GNAI3  GNAO1  GNAQ  GNAS  ANGPT1  ANGPT2  RAPGEF1  GRIN1  GRIN2A  GRIN2B  HGF  ID1  IGF1  IGF1R  INS  INSR  ITGA2B  ITGAL  ITGAM  ITGB1  ITGB2  ITGB3  KDR  KIT  KRAS  RHOA  MET  KITLG  NGF  NGFR  NRAS  PARD6A  PDGFA  PDGFB  PDGFRA  PDGFRB  PFN1  PGF  PIK3CA  PIK3R1  PIK3R2  PLCG1  ENAH  PRKCA  PRKCG  PRKD1  PRKCZ  MAPK1  MAPK3  MAPK11  PDGFC  MAP2K1  MAP2K3  MAP2K6  RAC2  RAF1  RALA  RAP1A  ACTB  SRC  BRAF  TEK  THBS1  VEGFA  VEGFB  VEGFC  FGF23  CALML3  PIK3R3  F2RL3  RAPGEF5  FGF19
hsa05224,Breast cancer,4.75E-31,78,147,4.152167844,http://www.genome.jp/kegg-bin/show_pathway?hsa05224 , CDK4  CDK6  CDKN1A  GADD45G  CTNNB1  DDB2  GADD45A  JAG1  DVL1  E2F3  EGF  EGFR  ERBB2  AKT1  AKT2  ESR1  ESR2  FGF1  FGF2  FGF4  FGF7  FGF9  FGF10  FGFR1  FLT4  FOS  SHC2  FGF21  GRB2  GSK3B  APC  HES1  IGF1  IGF1R  ARAF  JUN  KIT  KRAS  LRP5  MYC  GADD45B  NFKB2  NOTCH1  NOTCH2  NOTCH3  NRAS  LEF1  PGR  PIK3CA  PIK3R1  PIK3R2  DLL4  MAPK1  MAPK3  MAP2K1  BAK1  BAX  RAF1  RB1  CCND1  RPS6KB1  SHC1  SOS1  SP1  BRCA1  BRAF  BRCA2  TCF7  TCF7L2  TP53  WNT1  WNT5A  WNT10B  WNT11  WNT10A  FGF23  PIK3R3  TNFSF11
hsa05169,Epstein-Barr virus infection,6.13E-42,107,202,4.145052552,http://www.genome.jp/kegg-bin/show_pathway?hsa05169 , BCL2L11  CDK2  CDK4  CDK6  CDKN1A  CDKN1B  GADD45G  CHUK  CR2  MAPK14  DDB2  GADD45A  E2F3  AKT1  AKT2  FCER2  DDX58  TBK1  PDIA3  HDAC1  HDAC2  APAF1  HES1  ICAM1  IFNA1  IFNA5  IFNA17  IFNAR1  IFNAR2  IFNB1  FAS  IKBKB  IL6  CXCL10  IRAK1  IRF3  ITGAL  JAK1  JAK3  JUN  LYN  MDM2  MYC  MYD88  GADD45B  NFKB1  NFKB2  NFKBIA  IRAK4  PIK3CA  PIK3R1  PIK3R2  PLCG2  CYCS  MAPK8  MAPK11  MAPK9  MAPK10  MAP2K3  MAP2K6  EIF2AK2  PSMD1  PSMD3  BAK1  BAX  RB1  CCND1  BCL2  RELA  RELB  MAP2K4  STAT1  STAT2  STAT3  SYK  MAP3K7  BTK  TLR2  TNFAIP3  TP53  TRAF2  TRAF3  TRAF5  TRAF6  TYK2  VIM  USP7  CALR  CASP3  CASP8  CASP9  PIK3R3  IKBKG  RUNX3  RIPK1  FADD  CCNA2  CCND2  CCND3  CD3E  CD19  ENTPD1  CD40  CD44  NCOR2  ISG15  CD58
hsa04622,RIG-I-like receptor signaling pathway,2.60E-15,37,70,4.136197968,http://www.genome.jp/kegg-bin/show_pathway?hsa04622 , CHUK  MAPK14  DDX3X  DDX58  TBK1  IFNA1  IFNA5  IFNA17  IFNB1  IKBKB  CXCL8  IL12A  IL12B  CXCL10  IRF3  NFKB1  NFKBIA  MAPK8  MAPK11  MAPK9  MAPK10  RELA  IFIH1  MAP3K7  TRAF2  TRAF3  TRAF6  TRIM25  DHX58  CASP8  CASP10  IKBKG  RIPK1  FADD  ATG12  ATG5  ISG15
hsa04928,Parathyroid hormone synthesis secretion and action,1.17E-21,55,106,4.060265725,http://www.genome.jp/kegg-bin/show_pathway?hsa04928 , ADCY1  ADCY2  ADCY7  CREB1  ATF2  SLC34A3  CYP24A1  CYP27B1  HBEGF  EGFR  EGR1  FGFR1  PLCB1  FOS  GATA3  GNAI3  GNAQ  GNAS  ARAF  ITPR1  JUND  RHOA  LRP5  MMP13  MMP14  ATF4  NR4A2  SOST  PDE4A  PDE4B  PDE4D  PLD1  PLD2  PRKCA  PRKCG  MAPK1  MAPK3  MAP2K1  PTH  PTHLH  PTH1R  RAF1  BCL2  RXRA  BGLAP  SLC34A1  SP1  BRAF  VDR  FGF23  CASR  RUNX2  TNFSF11  ARHGEF1  KL
hsa04662,B cell receptor signaling pathway,8.14E-17,42,81,4.05753154,http://www.genome.jp/kegg-bin/show_pathway?hsa04662 , VAV3  MALT1  CHUK  CR2  AKT1  AKT2  FCGR2B  FOS  GRB2  GSK3B  IKBKB  INPPL1  JUN  KRAS  LYN  NFATC1  NFKB1  NFKBIA  NRAS  PIK3CA  PIK3R1  PIK3R2  PLCG2  PPP3CA  MAPK1  MAPK3  MAP2K1  PTPN6  RAC2  RAF1  RELA  SOS1  SYK  BTK  PIK3R3  IKBKG  BCL10  CD19  CD22  CD72  CD79A  CD79B
hsa05163,Human cytomegalovirus infection,4.31E-44,116,224,4.052356117,http://www.genome.jp/kegg-bin/show_pathway?hsa05163 , CDK4  CDK6  CDKN1A  CDKN2A  ADCY1  ADCY2  ADCY7  CHUK  CCR1  CCR3  CCR5  CREB1  ATF2  CRK  CRKL  MAPK14  CTNNB1  E2F3  EGFR  EIF4EBP1  ELK1  AKT1  AKT2  PTK2B  PLCB1  GNAI3  GNAO1  GNAQ  GNAS  GRB2  TBK1  PDIA3  GSK3B  IFNA1  IFNA5  IFNA17  IFNB1  FAS  IKBKB  IL1B  IL1R1  FASLG  IL6  IL6R  CXCL8  CXCR2  IL10RA  IL10RB  IRF3  ITGB3  ITPR1  JAK1  KRAS  RHOA  MDM2  MYC  ATF4  NFATC1  NFKB1  NFKBIA  NRAS  PDGFRA  PIK3CA  PIK3R1  PIK3R2  CYCS  PPP3CA  PRKCA  PRKCG  MAPK1  MAPK3  MAPK11  MAP2K1  MAP2K6  PTGER1  PTGER2  PTGER3  PTGER4  PTGS2  PTK2  BAK1  BAX  PXN  RAC2  RAF1  RB1  CCND1  RELA  ROCK1  RPS6KB1  CCL2  CX3CL1  CXCL12  SOS1  SP1  SRC  STAT3  TNFRSF1A  TP53  TRAF2  TRAF5  TSC1  TSC2  VEGFA  CXCR4  CALML3  CALR  CASP3  CASP8  CASP9  PIK3R3  IKBKG  RIPK1  FADD  ARHGEF1  ROCK2
hsa04211,Longevity regulating pathway,3.19E-18,46,89,4.044505756,http://www.genome.jp/kegg-bin/show_pathway?hsa04211 , CAMKK2  ADCY1  ADCY2  PPARGC1A  ADCY7  CREB1  ATF2  EIF4E  EIF4EBP1  AKT1  AKT2  FOXO1  FOXO3  SIRT1  IGF1  IGF1R  INS  INSR  IRS1  KRAS  ATF4  NFKB1  NRAS  ADIPOR1  PIK3CA  PIK3R1  PIK3R2  PPARG  PRKAA1  PRKAA2  BAX  RELA  RPS6KB1  SOD2  STK11  TP53  TSC1  TSC2  CAMK4  ULK1  CAT  PIK3R3  IRS2  KL  ADIPOQ  ATG5
hsa04926,Relaxin signaling pathway,2.85E-25,66,129,4.003610855,http://www.genome.jp/kegg-bin/show_pathway?hsa04926 , ADCY1  ADCY2  ADCY7  COL1A1  COL1A2  COL3A1  COL4A1  COL4A2  COL4A3  COL4A4  COL4A5  COL4A6  CREB1  ATF2  MAPK14  EDN1  EDNRB  EGFR  AKT1  AKT2  PLCB1  FOS  SHC2  GNAI3  GNAO1  GNAS  GRB2  JUN  KRAS  SMAD2  MMP1  MMP2  MMP9  MMP13  ATF4  NFKB1  NFKBIA  NOS1  NOS3  NRAS  PIK3CA  PIK3R1  PIK3R2  PRKCA  PRKCZ  MAPK1  MAPK3  MAPK8  MAPK11  MAPK9  MAPK10  MAP2K1  RAF1  ACTA2  RELA  MAP2K4  SHC1  SOS1  SRC  TGFB1  TGFBR1  TGFBR2  VEGFA  VEGFB  VEGFC  PIK3R3
hsa04014,Ras signaling pathway,1.02E-44,120,235,3.995866927,http://www.genome.jp/kegg-bin/show_pathway?hsa04014 , RALBP1  RASSF1  CHUK  CSF1  CSF1R  EFNA2  EGF  EGFR  EPHA2  ELK1  AKT1  AKT2  ETS1  ETS2  FGF1  FGF2  FGF4  FGF7  FGF9  FGF10  FGFR1  FGFR3  FGFR2  FGFR4  FLT1  FLT3  FLT4  ABL1  GAB1  SHC2  FGF21  ABL2  ANGPT1  ANGPT2  GRB2  GRIN1  GRIN2A  GRIN2B  TBK1  HGF  HTR7  IGF1  IGF1R  IGF2  IKBKB  FASLG  INS  INSR  KDR  KIT  KRAS  RHOA  MET  KITLG  FOXO4  NF1  NFKB1  NGF  NGFR  NRAS  NTF3  NTF4  NTRK1  NTRK2  PAK1  PAK3  PLA1A  PDGFA  PDGFB  PDGFRA  PDGFRB  PGF  PIK3CA  PIK3R1  PIK3R2  PLA2G1B  PLA2G2A  PLA2G4A  PLCG1  PLCG2  PLD1  PLD2  PRKCA  PRKCG  MAPK1  MAPK3  MAPK8  MAPK9  MAPK10  PDGFC  MAP2K1  BAD  PTPN11  RAC2  RAF1  RALA  RAP1A  RASA1  RASGRF1  REL  RELA  BCL2L1  BDNF  SHC1  SOS1  STK4  TEK  TGFA  VEGFA  VEGFB  VEGFC  ZAP70  FGF23  CALML3  PLA2G6  PIK3R3  IKBKG  RASAL2  RAPGEF5  FGF19
